CMDLINE /home/funkylisp/projects/carte/.venv/bin/python profiler.py
MEM 0.613281 1736674517.0378
MEM 32.769531 1736674517.1381
MEM 48.718750 1736674517.2383
MEM 81.441406 1736674517.3385
MEM 101.664062 1736674517.4387
MEM 130.714844 1736674517.5390
MEM 146.226562 1736674517.6392
MEM 155.832031 1736674517.7394
MEM 187.750000 1736674517.8396
MEM 196.925781 1736674517.9398
MEM 206.640625 1736674518.0400
MEM 217.335938 1736674518.1403
MEM 223.390625 1736674518.2405
MEM 231.578125 1736674518.3407
MEM 253.871094 1736674518.4409
MEM 268.761719 1736674518.5411
MEM 280.796875 1736674518.6413
MEM 298.835938 1736674518.7416
MEM 326.433594 1736674518.8418
MEM 359.687500 1736674518.9422
MEM 453.285156 1736674519.0424
MEM 477.128906 1736674519.1427
MEM 496.417969 1736674519.2429
MEM 517.207031 1736674519.3432
MEM 563.273438 1736674519.4434
MEM 571.839844 1736674519.5437
MEM 578.792969 1736674519.6439
MEM 586.238281 1736674519.7441
MEM 594.406250 1736674519.8443
MEM 600.148438 1736674519.9445
MEM 603.242188 1736674520.0447
MEM 605.816406 1736674520.1450
MEM 613.550781 1736674520.2452
MEM 619.277344 1736674520.3454
MEM 625.820312 1736674520.4457
MEM 636.988281 1736674520.5459
MEM 644.472656 1736674520.6461
MEM 647.539062 1736674520.7463
MEM 650.609375 1736674520.8466
MEM 667.125000 1736674520.9469
MEM 684.351562 1736674521.0471
MEM 689.359375 1736674521.1474
MEM 693.656250 1736674521.2476
MEM 700.589844 1736674521.3479
MEM 704.613281 1736674521.4480
MEM 708.335938 1736674521.5483
MEM 712.476562 1736674521.6485
MEM 714.117188 1736674521.7488
MEM 719.199219 1736674521.8490
MEM 729.054688 1736674521.9492
MEM 741.453125 1736674522.0495
MEM 745.320312 1736674522.1499
MEM 750.476562 1736674522.2501
MEM 758.878906 1736674522.3504
MEM 763.378906 1736674522.4506
MEM 770.312500 1736674522.5508
MEM 795.472656 1736674522.6511
MEM 811.019531 1736674522.7513
MEM 853.523438 1736674522.8515
MEM 892.488281 1736674522.9518
MEM 936.425781 1736674523.0521
MEM 968.187500 1736674523.1524
MEM 995.308594 1736674523.2527
MEM 1000.207031 1736674523.3529
MEM 1005.363281 1736674523.4532
MEM 1010.261719 1736674523.5534
MEM 1015.417969 1736674523.6537
MEM 1020.316406 1736674523.7539
MEM 1025.214844 1736674523.8541
MEM 1030.371094 1736674523.9543
MEM 1035.269531 1736674524.0546
MEM 1040.167969 1736674524.1548
MEM 1045.324219 1736674524.2551
MEM 1050.222656 1736674524.3553
MEM 1055.121094 1736674524.4556
MEM 1060.277344 1736674524.5558
MEM 1065.175781 1736674524.6561
MEM 1069.558594 1736674524.7563
MEM 1074.714844 1736674524.8566
MEM 1079.613281 1736674524.9569
MEM 1084.769531 1736674525.0571
MEM 1089.667969 1736674525.1573
MEM 1094.566406 1736674525.2576
MEM 1099.207031 1736674525.3578
MEM 1112.281250 1736674525.4581
MEM 1112.281250 1736674525.5583
MEM 1495.968750 1736674525.6586
MEM 2181.968750 1736674525.7590
MEM 2775.968750 1736674525.8593
MEM 3265.968750 1736674525.9596
MEM 3717.968750 1736674526.0599
MEM 4147.968750 1736674526.1602
MEM 4617.968750 1736674526.2605
MEM 5071.968750 1736674526.3608
MEM 5505.968750 1736674526.4612
MEM 5681.968750 1736674526.5615
MEM 5689.722656 1736674526.6618
MEM 5689.722656 1736674526.7621
MEM 5689.722656 1736674526.8624
MEM 5689.722656 1736674526.9626
MEM 5689.722656 1736674527.0629
MEM 5689.722656 1736674527.1632
MEM 5689.722656 1736674527.2635
MEM 5689.722656 1736674527.3638
MEM 5689.722656 1736674527.4641
MEM 5689.722656 1736674527.5644
MEM 5689.722656 1736674527.6647
MEM 5689.722656 1736674527.7649
MEM 5689.722656 1736674527.8653
MEM 5689.722656 1736674527.9656
MEM 5689.722656 1736674528.0659
MEM 5689.722656 1736674528.1662
MEM 5689.722656 1736674528.2666
MEM 5689.722656 1736674528.3668
MEM 5689.722656 1736674528.4671
MEM 5689.722656 1736674528.5674
MEM 5689.722656 1736674528.6677
MEM 5689.722656 1736674528.7680
MEM 5689.722656 1736674528.8682
MEM 5689.722656 1736674528.9685
MEM 5689.722656 1736674529.0689
MEM 5689.722656 1736674529.1692
MEM 5689.722656 1736674529.2695
MEM 5689.722656 1736674529.3698
MEM 5689.722656 1736674529.4702
MEM 5689.722656 1736674529.5704
MEM 5689.722656 1736674529.6707
MEM 5689.722656 1736674529.7711
MEM 5689.722656 1736674529.8713
MEM 5689.722656 1736674529.9716
MEM 5689.722656 1736674530.0719
MEM 5689.722656 1736674530.1721
MEM 5689.722656 1736674530.2726
MEM 5689.722656 1736674530.3729
MEM 5689.722656 1736674530.4732
MEM 5689.722656 1736674530.5740
MEM 5689.722656 1736674530.6744
MEM 5689.722656 1736674530.7747
MEM 5689.722656 1736674530.8751
MEM 5689.722656 1736674530.9754
MEM 5689.722656 1736674531.0757
MEM 5689.722656 1736674531.1760
